sal_code_2021,sal_name_2021,state_code_2021,state_name_2021,gccsa_code_2021,gccsa_name_2021
20002,Abbotsford (Vic.),2,Victoria,2GMEL,Greater Melbourne
20003,Aberfeldie,2,Victoria,2GMEL,Greater Melbourne
20006,Ada,2,Victoria,2GMEL,Greater Melbourne
20011,Aintree,2,Victoria,2GMEL,Greater Melbourne
20015,Airport West,2,Victoria,2GMEL,Greater Melbourne
20017,Albanvale,2,Victoria,2GMEL,Greater Melbourne
20018,Albert Park (Vic.),2,Victoria,2GMEL,Greater Melbourne
20021,Albion (Vic.),2,Victoria,2GMEL,Greater Melbourne
20034,Alphington,2,Victoria,2GMEL,Greater Melbourne
20035,Altona (Vic.),2,Victoria,2GMEL,Greater Melbourne
20036,Altona Meadows,2,Victoria,2GMEL,Greater Melbourne
20037,Altona North,2,Victoria,2GMEL,Greater Melbourne
20062,Ardeer,2,Victoria,2GMEL,Greater Melbourne
20066,Armadale (Vic.),2,Victoria,2GMEL,Greater Melbourne
20071,Arthurs Creek,2,Victoria,2GMEL,Greater Melbourne
20072,Arthurs Seat,2,Victoria,2GMEL,Greater Melbourne
20075,Ascot Vale,2,Victoria,2GMEL,Greater Melbourne
20076,Ashbourne (Vic.),2,Victoria,2GMEL,Greater Melbourne
20077,Ashburton,2,Victoria,2GMEL,Greater Melbourne
20078,Ashwood,2,Victoria,2GMEL,Greater Melbourne
20079,Aspendale,2,Victoria,2GMEL,Greater Melbourne
20080,Aspendale Gardens,2,Victoria,2GMEL,Greater Melbourne
20081,Athlone,2,Victoria,2GMEL,Greater Melbourne
20082,Attwood,2,Victoria,2GMEL,Greater Melbourne
20089,Avondale Heights,2,Victoria,2GMEL,Greater Melbourne
20091,Avonsleigh,2,Victoria,2GMEL,Greater Melbourne
20095,Bacchus Marsh,2,Victoria,2GMEL,Greater Melbourne
20097,Badger Creek,2,Victoria,2GMEL,Greater Melbourne
20105,Balaclava (Vic.),2,Victoria,2GMEL,Greater Melbourne
20115,Balliang,2,Victoria,2GMEL,Greater Melbourne
20116,Balliang East,2,Victoria,2GMEL,Greater Melbourne
20120,Balnarring,2,Victoria,2GMEL,Greater Melbourne
20121,Balnarring Beach,2,Victoria,2GMEL,Greater Melbourne
20123,Balwyn,2,Victoria,2GMEL,Greater Melbourne
20124,Balwyn North,2,Victoria,2GMEL,Greater Melbourne
20131,Bangholme,2,Victoria,2GMEL,Greater Melbourne
20169,Baxter,2,Victoria,2GMEL,Greater Melbourne
20171,Bayles,2,Victoria,2GMEL,Greater Melbourne
20172,Baynton (Vic.),2,Victoria,2GMEL,Greater Melbourne
20173,Bayswater (Vic.),2,Victoria,2GMEL,Greater Melbourne
20174,Bayswater North,2,Victoria,2GMEL,Greater Melbourne
20175,Beaconsfield (Vic.),2,Victoria,2GMEL,Greater Melbourne
20176,Beaconsfield Upper,2,Victoria,2GMEL,Greater Melbourne
20182,Beaumaris (Vic.),2,Victoria,2GMEL,Greater Melbourne
20187,Beenak,2,Victoria,2GMEL,Greater Melbourne
20188,Belgrave,2,Victoria,2GMEL,Greater Melbourne
20189,Belgrave Heights,2,Victoria,2GMEL,Greater Melbourne
20190,Belgrave South,2,Victoria,2GMEL,Greater Melbourne
20198,Bellfield (Banyule - Vic.),2,Victoria,2GMEL,Greater Melbourne
20207,Bend Of Islands,2,Victoria,2GMEL,Greater Melbourne
20212,Benloch,2,Victoria,2GMEL,Greater Melbourne
20214,Bentleigh,2,Victoria,2GMEL,Greater Melbourne
20215,Bentleigh East,2,Victoria,2GMEL,Greater Melbourne
20224,Berwick,2,Victoria,2GMEL,Greater Melbourne
20233,Beveridge,2,Victoria,2GMEL,Greater Melbourne
20237,Big Pats Creek,2,Victoria,2GMEL,Greater Melbourne
20248,Bittern,2,Victoria,2GMEL,Greater Melbourne
20251,Black Rock (Vic.),2,Victoria,2GMEL,Greater Melbourne
20252,Blackburn,2,Victoria,2GMEL,Greater Melbourne
20253,Blackburn North,2,Victoria,2GMEL,Greater Melbourne
20254,Blackburn South,2,Victoria,2GMEL,Greater Melbourne
20257,Blairgowrie,2,Victoria,2GMEL,Greater Melbourne
20260,Blind Bight,2,Victoria,2GMEL,Greater Melbourne
20272,Bolinda,2,Victoria,2GMEL,Greater Melbourne
20278,Bonbeach,2,Victoria,2GMEL,Greater Melbourne
20280,Boneo,2,Victoria,2GMEL,Greater Melbourne
20282,Bonnie Brook,2,Victoria,2GMEL,Greater Melbourne
20304,Boronia,2,Victoria,2GMEL,Greater Melbourne
20307,Botanic Ridge,2,Victoria,2GMEL,Greater Melbourne
20314,Box Hill (Vic.),2,Victoria,2GMEL,Greater Melbourne
20315,Box Hill North,2,Victoria,2GMEL,Greater Melbourne
20316,Box Hill South,2,Victoria,2GMEL,Greater Melbourne
20320,Braeside,2,Victoria,2GMEL,Greater Melbourne
20324,Braybrook,2,Victoria,2GMEL,Greater Melbourne
20331,Briar Hill,2,Victoria,2GMEL,Greater Melbourne
20337,Brighton (Vic.),2,Victoria,2GMEL,Greater Melbourne
20338,Brighton East,2,Victoria,2GMEL,Greater Melbourne
20345,Broadford,2,Victoria,2GMEL,Greater Melbourne
20346,Broadmeadows (Vic.),2,Victoria,2GMEL,Greater Melbourne
20351,Brookfield (Vic.),2,Victoria,2GMEL,Greater Melbourne
20352,Brooklyn (Vic.),2,Victoria,2GMEL,Greater Melbourne
20361,Brunswick (Vic.),2,Victoria,2GMEL,Greater Melbourne
20362,Brunswick East,2,Victoria,2GMEL,Greater Melbourne
20363,Brunswick West,2,Victoria,2GMEL,Greater Melbourne
20381,Bulla (Vic.),2,Victoria,2GMEL,Greater Melbourne
20386,Bulleen,2,Victoria,2GMEL,Greater Melbourne
20387,Bullengarook,2,Victoria,2GMEL,Greater Melbourne
